City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
257,Mudon,MM,16.26,97.72,74.28,93,100,5.21,overcast clouds
258,Khandyga,RU,62.67,135.6,45.14,57,97,2.53,overcast clouds
259,Ilulissat,GL,69.22,-51.1,44.6,65,0,4.7,clear sky
260,Gao,ML,16.64,1.64,93.69,35,68,9.98,broken clouds
261,Sri Aman,MY,1.24,111.46,77.0,94,100,0.94,overcast clouds
262,Torbay,CA,47.67,-52.73,68.0,49,75,10.29,broken clouds
263,Inhambane,MZ,-23.86,35.38,65.25,75,0,8.12,clear sky
264,Stornoway,GB,58.21,-6.39,48.99,87,61,3.87,broken clouds
265,Luderitz,NA,-26.65,15.16,59.04,71,0,11.23,clear sky
266,Neuquen,AR,-38.95,-68.06,69.8,26,0,11.41,clear sky
267,Lorengau,PG,-2.02,147.27,79.03,79,100,7.83,moderate rain
268,Hualmay,PE,-11.1,-77.61,63.75,73,6,8.52,clear sky
269,Victoria,HK,22.29,114.16,84.0,83,1,5.99,clear sky
270,Asmar,AF,35.03,71.36,79.3,67,70,3.27,light rain
271,Gunjur,GM,13.2,-16.73,80.6,94,75,2.24,broken clouds
272,Muchkapskiy,RU,51.85,42.47,56.97,65,0,0.89,clear sky
273,Aksu,CN,41.12,80.26,74.01,35,0,1.83,clear sky
274,Tamayo,DO,18.39,-71.2,75.2,100,90,13.87,thunderstorm with rain
275,Los Llanos De Aridane,ES,28.66,-17.92,78.01,83,12,17.22,few clouds
276,Narsaq,GL,60.92,-46.05,55.4,62,0,10.29,clear sky
277,Coffeyville,US,37.04,-95.62,93.2,34,1,5.82,clear sky
278,Ryotsu,JP,38.08,138.43,71.6,94,25,1.12,scattered clouds
279,Severo-Kurilsk,RU,50.68,156.12,53.28,78,31,0.22,scattered clouds
280,Peniche,PT,39.36,-9.38,69.01,88,0,5.99,clear sky
281,Adrar,MR,20.5,-10.07,102.0,16,10,11.63,clear sky
282,Davila,PH,18.47,120.58,81.05,76,68,17.58,broken clouds
283,Pevek,RU,69.7,170.31,37.44,95,100,3.69,overcast clouds
284,Sao Joao Da Barra,BR,-21.64,-41.05,69.8,68,40,11.41,scattered clouds
285,Salimpur,IN,28.13,76.28,79.16,84,3,8.16,clear sky
286,Amarpur,IN,25.03,86.9,82.8,77,45,1.28,scattered clouds
