City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
240,Darhan,MN,2020-08-22 23:57:34,49.49,105.92,61.57,76,43,2.48
241,Onokhoy,RU,2020-08-22 23:57:34,51.93,108.07,53.6,93,40,4.47
242,Agadir,MA,2020-08-22 23:57:34,30.42,-9.6,78.8,61,40,4.7
243,Klaksvik,FO,2020-08-22 23:57:34,62.23,-6.59,46.4,81,92,14.99
244,Bose,IT,2020-08-22 23:57:34,45.46,8.01,75.0,74,24,4.0
245,Poum,NC,2020-08-22 23:56:19,-20.23,164.02,72.48,74,39,10.38
246,Portland,US,2020-08-22 23:56:26,45.52,-122.68,80.01,44,20,10.29
247,Tarbes,FR,2020-08-22 23:57:34,43.25,0.17,66.2,82,90,2.24
248,Tecolutla,MX,2020-08-22 23:57:34,20.48,-97.02,86.0,74,40,11.41
249,Bouca,CF,2020-08-22 23:57:34,6.51,18.27,69.28,97,100,1.3
250,Boali,CF,2020-08-22 23:57:34,4.8,18.13,77.0,94,20,1.63
251,Naldurg,IN,2020-08-22 23:57:34,17.82,76.3,71.94,92,100,10.94
252,Energetik,RU,2020-08-22 23:57:34,51.74,58.79,51.91,87,8,5.99
253,Mananjary,MG,2020-08-22 23:57:34,-21.22,48.33,62.28,86,1,5.17
254,Ixtapa,MX,2020-08-22 23:57:34,20.7,-105.2,89.6,70,75,10.29
255,Hay River,CA,2020-08-22 23:53:41,60.82,-115.8,60.8,77,75,9.17
256,Pokhara,NP,2020-08-22 23:57:34,28.23,83.98,70.59,83,68,1.74
257,Lesnoye,RU,2020-08-22 23:57:34,58.28,35.52,55.2,85,79,4.74
258,Doka,SD,2020-08-22 23:57:34,13.52,35.77,72.57,95,100,5.75
259,Sovetskiy,RU,2020-08-22 23:57:34,61.36,63.58,48.36,92,17,7.52
260,Surt,LY,2020-08-22 23:57:35,31.21,16.59,77.97,69,0,7.54
261,Kavaratti,IN,2020-08-22 23:57:35,10.57,72.64,82.45,77,58,11.45
262,Itarema,BR,2020-08-22 23:54:27,-2.92,-39.92,77.43,80,0,12.82
263,Kurilsk,RU,2020-08-22 23:57:35,45.23,147.88,63.41,57,97,9.57
264,Sharya,RU,2020-08-22 23:57:35,58.37,45.51,52.56,92,0,3.78
265,Soyo,AO,2020-08-22 23:57:35,-6.13,12.37,73.24,88,7,6.85
266,Krasnoyarsk,RU,2020-08-22 23:54:32,56.01,92.79,48.2,93,0,4.12
267,Adrar,MR,2020-08-22 23:57:35,20.5,-10.07,99.1,10,27,5.57
268,Tessalit,ML,2020-08-22 23:57:35,20.2,1.01,94.82,24,81,13.85
269,Fortuna,US,2020-08-22 23:55:07,40.6,-124.16,69.01,77,1,14.99
270,Sangar,RU,2020-08-22 23:57:35,63.92,127.47,50.9,50,17,3.24
271,Faanui,PF,2020-08-22 23:57:35,-16.48,-151.75,76.86,79,9,19.35
272,Hamilton,US,2020-08-22 23:54:34,39.18,-84.53,78.01,83,1,4.7
273,Atocha,BO,2020-08-22 23:57:35,-20.93,-66.23,42.03,46,23,17.34
274,Constitucion,CL,2020-08-22 23:57:35,-35.33,-72.42,53.69,89,21,15.7
275,Sao Filipe,CV,2020-08-22 23:57:35,14.9,-24.5,79.07,79,48,4.36
276,Saldanha,ZA,2020-08-22 23:57:35,-33.01,17.94,50.0,87,1,4.7
277,Camenca,MD,2020-08-22 23:57:35,48.03,28.7,59.0,88,0,4.74
278,Yumen,CN,2020-08-22 23:57:35,40.28,97.2,67.23,38,10,11.97
279,Kargasok,RU,2020-08-22 23:57:35,59.06,80.86,52.0,97,78,4.9
280,Shuangyang,CN,2020-08-22 23:57:35,43.52,125.67,68.0,82,99,8.95
281,Formosa Do Rio Preto,BR,2020-08-22 23:57:36,-11.05,-45.19,76.3,42,51,1.39
282,Kamaishi,JP,2020-08-22 23:57:36,39.27,141.88,73.4,94,75,3.36
283,Mayo,US,2020-08-22 23:57:36,38.89,-76.51,79.0,83,1,10.29
284,Chapaevsk,RU,2020-08-22 23:57:36,52.98,49.71,51.8,87,2,4.47
285,Mareeba,AU,2020-08-22 23:57:36,-17.0,145.43,79.0,31,26,9.17
286,Pavlodar,KZ,2020-08-22 23:57:36,52.3,76.95,53.6,93,73,6.71
287,Markova,UA,2020-08-22 23:57:36,48.68,24.41,63.03,87,0,2.59
288,Ust-Nera,RU,2020-08-22 23:57:36,64.57,143.2,44.29,57,100,5.23
289,Roebourne,AU,2020-08-22 23:57:36,-20.78,117.13,75.87,25,0,6.06
290,Mantua,IT,2020-08-22 23:57:36,45.17,10.78,75.99,69,0,1.99
291,Ca Mau,VN,2020-08-22 23:53:12,9.18,105.15,80.74,82,100,2.95
292,Magistralnyy,RU,2020-08-22 23:57:36,56.17,107.45,57.4,83,95,2.46
293,Haines Junction,CA,2020-08-22 23:55:16,60.75,-137.51,65.68,63,99,2.93
294,Molochnoye,RU,2020-08-22 23:57:36,59.29,39.68,57.2,87,68,6.24
295,Vestmannaeyjar,IS,2020-08-22 23:57:36,63.44,-20.27,51.78,76,7,8.16
